"","File","Distance","Experiment","Population"
"167","results_simple_16_2_random_3.txt",5,"Evostar","16"
"168","results_simple_16_2_random_3.txt",1,"Evostar","16"
"169","results_simple_16_2_random_3.txt",1,"Evostar","16"
"170","results_simple_16_2_random_3.txt",4,"Evostar","16"
"171","results_simple_16_2_random_3.txt",6,"Evostar","16"
"172","results_simple_16_2_random_3.txt",2,"Evostar","16"
"173","results_simple_16_2_random_3.txt",7,"Evostar","16"
"174","results_simple_16_2_random_3.txt",2,"Evostar","16"
"175","results_simple_16_2_random_3.txt",5,"Evostar","16"
"176","results_simple_16_2_random_3.txt",6,"Evostar","16"
"177","results_simple_16_2_random_3.txt",5,"Evostar","16"
"178","results_simple_16_2_random_3.txt",5,"Evostar","16"
"179","results_simple_16_2_random_3.txt",0,"Evostar","16"
"180","results_simple_16_2_random_3.txt",4,"Evostar","16"
"181","results_simple_16_2_random_3.txt",4,"Evostar","16"
"182","results_simple_16_2_random_3.txt",3,"Evostar","16"
"183","results_simple_16_2_random_3.txt",1,"Evostar","16"
"184","results_simple_16_2_random_3.txt",5,"Evostar","16"
"185","results_simple_16_2_random_3.txt",2,"Evostar","16"
"186","results_simple_16_2_random_3.txt",3,"Evostar","16"
"187","results_simple_16_2_random_3.txt",2,"Evostar","16"
"188","results_simple_16_2_random_3.txt",1,"Evostar","16"
"189","results_simple_16_2_random_3.txt",1,"Evostar","16"
"190","results_simple_16_2_random_3.txt",4,"Evostar","16"
"191","results_simple_16_2_random_3.txt",0,"Evostar","16"
"192","results_simple_16_2_random_3.txt",0,"Evostar","16"
"193","results_simple_16_2_random_3.txt",3,"Evostar","16"
"194","results_simple_16_2_random_3.txt",5,"Evostar","16"
"195","results_simple_16_2_random_3.txt",1,"Evostar","16"
"196","results_simple_16_2_random_3.txt",3,"Evostar","16"
"197","results_simple_16_2_random_3.txt",2,"Evostar","16"
"198","results_simple_16_2_random_3.txt",1,"Evostar","16"
"199","results_simple_16_2_random_3.txt",1,"Evostar","16"
"200","results_simple_16_2_random_3.txt",4,"Evostar","16"
"201","results_simple_16_2_random_3.txt",0,"Evostar","16"
"202","results_simple_16_2_random_3.txt",0,"Evostar","16"
"203","results_simple_16_2_random_3.txt",3,"Evostar","16"
"204","results_simple_16_2_random_3.txt",5,"Evostar","16"
"205","results_simple_16_2_random_3.txt",2,"Evostar","16"
"206","results_simple_16_2_random_3.txt",3,"Evostar","16"
"207","results_simple_16_2_random_3.txt",4,"Evostar","16"
"208","results_simple_16_2_random_3.txt",4,"Evostar","16"
"209","results_simple_16_2_random_3.txt",3,"Evostar","16"
"210","results_simple_16_2_random_3.txt",3,"Evostar","16"
"211","results_simple_16_2_random_3.txt",3,"Evostar","16"
"212","results_simple_16_2_random_3.txt",0,"Evostar","16"
"213","results_simple_16_2_random_3.txt",4,"Evostar","16"
"214","results_simple_16_2_random_3.txt",5,"Evostar","16"
"215","results_simple_16_2_random_3.txt",6,"Evostar","16"
"216","results_simple_16_2_random_3.txt",6,"Evostar","16"
"217","results_simple_16_2_random_3.txt",1,"Evostar","16"
"218","results_simple_16_2_random_3.txt",5,"Evostar","16"
"219","results_simple_16_2_random_3.txt",5,"Evostar","16"
"220","results_simple_16_2_random_3.txt",2,"Evostar","16"
"221","results_simple_16_2_random_3.txt",1,"Evostar","16"
"222","results_simple_16_2_random_3.txt",2,"Evostar","16"
"223","results_simple_16_2_random_3.txt",2,"Evostar","16"
"224","results_simple_16_2_random_3.txt",5,"Evostar","16"
"225","results_simple_16_2_random_3.txt",1,"Evostar","16"
"226","results_simple_16_2_random_3.txt",5,"Evostar","16"
"227","results_simple_16_2_random_3.txt",6,"Evostar","16"
"228","results_simple_16_2_random_3.txt",7,"Evostar","16"
"229","results_simple_16_2_random_3.txt",7,"Evostar","16"
"230","results_simple_16_2_random_3.txt",2,"Evostar","16"
"231","results_simple_16_2_random_3.txt",4,"Evostar","16"
"232","results_simple_16_2_random_3.txt",3,"Evostar","16"
"233","results_simple_16_2_random_3.txt",2,"Evostar","16"
"234","results_simple_16_2_random_3.txt",2,"Evostar","16"
"235","results_simple_16_2_random_3.txt",8,"Evostar","16"
"236","results_simple_16_2_random_3.txt",7,"Evostar","16"
"237","results_simple_16_2_random_3.txt",8,"Evostar","16"
"238","results_simple_16_2_random_3.txt",6,"Evostar","16"
"239","results_simple_16_2_random_3.txt",5,"Evostar","16"
"240","results_simple_16_2_random_3.txt",7,"Evostar","16"
"241","results_simple_16_2_random_4.txt",0,"Evostar","16"
"242","results_simple_16_2_random_4.txt",8,"Evostar","16"
