Population, Final Best, Initial Best, Copies, Final Avg, Initial Avg
16, 21, 21, 1, 21, 510.75
16, 21, 21, 1, 21, 327.5625
16, 21, 21, 1, 21, 449.8125
16, 21, 21, 1, 21, 388.125
16, 21, 21, 1, 21, 328.3125
16, 21, 21, 1, 21, 510.5625
16, 21, 21, 1, 21, 144.75
16, 21, 21, 1, 21, 327.375
16, 21, 21, 1, 21, 510.9375
16, 21, 21, 1, 21, 571.875
