Web, Population, Crossover, Mutation, Fitness, Copies
Juice Shop, 32, 2, one, 12, 0.4375
Juice Shop, 32, 2, one, 12, 0.34375
Juice Shop, 32, 1, random, 12, 0.28125
Juice Shop, 32, 2, random, 12, 0.34375
Juice Shop, 32, 1, one, 12, 0.15625
Juice Shop, 32, 2, random, 12, 0.09375
Juice Shop, 32, 1, one, 12, 0.25
Juice Shop, 32, 2, one, 12, 0.34375
Juice Shop, 32, 1, one, 12, 0.28125
Juice Shop, 32, 1, one, 12, 0.375
Juice Shop, 32, 2, random, 12, 0.21875
Juice Shop, 32, 2, one, 12, 0.21875
Juice Shop, 32, 1, random, 12, 0.1875
Juice Shop, 32, 2, one, 12, 0.28125
Juice Shop, 32, 1, one, 12, 0.25
Juice Shop, 32, 1, one, 12, 0.4375
Juice Shop, 32, 2, random, 12, 0.21875
Juice Shop, 32, 1, random, 12, 0.1875
Juice Shop, 32, 2, random, 12, 0.3125
Juice Shop, 32, 2, one, 12, 0.15625
Juice Shop, 32, 2, random, 12, 0.3125
Juice Shop, 32, 1, random, 12, 0.3125
Juice Shop, 32, 1, one, 12, 0.21875
Juice Shop, 32, 2, one, 12, 0.34375
Juice Shop, 32, 1, one, 12, 0.28125
Juice Shop, 32, 2, random, 12, 0.15625
Juice Shop, 32, 1, random, 12, 0.28125
Juice Shop, 32, 1, random, 3, 0.03125
Juice Shop, 32, 1, one, 12, 0.375
Juice Shop, 32, 2, one, 12, 0.25
Juice Shop, 32, 1, one, 12, 0.28125
Juice Shop, 32, 1, one, 12, 0.40625
Juice Shop, 32, 2, random, 12, 0.40625
Juice Shop, 32, 2, one, 12, 0.21875
Juice Shop, 32, 1, random, 12, 0.25
Juice Shop, 32, 1, one, 10, 0.03125
Juice Shop, 32, 2, one, 12, 0.28125
Juice Shop, 32, 2, random, 12, 0.28125
Juice Shop, 32, 1, random, 12, 0.28125
results_juice_32_1_one_15.txt is empty
